Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
1260	2	8	1	7	1	6	1	5	4	4	2	3	3	2	2	1	5	11	1	18	2	1	1	2	3	9	1	10	1	1
1270	1	8	2	7	2	6	3	5	3	4	3	3	3	2	2	1	3	3	3	3	1	3	1	9	2	9	1	2	1	1
1280	5	8	5	7	3	6	2	5	5	4	10	3	1	2	1	1	5	10	2	5	1	2	1	1	2	5	1	11	1	1
1290	2	8	2	7	2	6	1	5	5	4	10	3	1	2	1	1	5	10	10	5	1	10	1	1	2	2	1	2	1	1
1300	1	8	3	7	11	6	1	5	4	4	3	3	3	2	1	1	2	3	1	13	9	1	1	9	3	10	1	11	1	1
1310	3	8	3	7	13	6	1	5	1	4	1	3	1	2	2	1	5	1	3	15	2	10	1	2	4	3	1	13	1	1
1320	5	8	5	7	1	6	3	5	1	4	10	3	3	2	2	1	1	10	3	1	2	3	1	2	1	5	1	1	1	1
1330	3	8	3	7	2	6	1	5	5	4	2	3	2	2	1	1	5	2	1	5	9	1	1	9	2	3	1	2	1	1
1340	2	8	2	7	2	6	1	5	2	4	1	3	1	2	2	1	2	1	1	2	2	1	1	2	11	2	1	11	1	1
1350	2	8	2	7	3	6	1	5	5	4	15	3	5	2	1	1	5	15	1	5	1	1	1	1	3	2	1	3	1	1
1360	4	8	13	7	4	6	3	5	5	4	3	3	11	2	1	1	15	11	3	15	1	3	1	1	4	13	1	4	1	1
1370	3	8	3	7	3	6	3	5	1	4	4	3	1	2	2	1	3	12	3	10	2	3	1	2	4	3	1	14	1	1
1380	2	8	2	7	3	6	1	5	4	4	1	3	2	2	1	1	2	9	2	13	1	9	1	1	3	2	1	3	1	1
1390	1	8	1	7	2	6	3	5	1	4	3	3	1	2	2	1	1	10	1	1	2	10	1	2	2	1	1	2	1	1
1400	4	8	4	7	4	6	9	5	3	4	2	3	9	2	2	1	3	9	1	3	2	9	1	2	12	4	1	12	1	1
1410	1	8	1	7	1	6	1	5	3	4	2	3	1	2	2	1	3	9	1	3	2	1	1	2	2	1	1	9	1	1
1420	3	8	3	7	3	6	2	5	2	4	3	3	3	2	9	1	2	3	2	2	1	2	1	9	3	3	1	3	1	1
1430	4	8	4	7	2	6	3	5	1	4	2	3	2	2	1	1	2	2	3	9	1	3	1	1	2	4	1	2	1	1
1440	1	8	2	7	2	6	1	5	2	4	3	3	2	2	2	1	2	11	1	2	2	1	1	2	2	9	1	2	1	1
1450	4	8	4	7	1	6	1	5	3	4	2	3	2	2	1	1	10	2	1	10	1	1	1	1	9	4	1	9	1	1
1460	17	8	3	7	3	6	11	5	4	4	2	3	2	2	2	1	12	2	2	12	2	11	1	2	10	17	1	10	1	1
1470	2	8	2	7	1	6	11	5	4	4	3	3	3	2	2	1	4	3	2	4	2	11	1	2	1	2	1	1	1	1
1480	3	8	3	7	2	6	2	5	2	4	3	3	2	2	2	1	3	11	2	11	1	2	1	9	2	3	1	2	1	1
1490	5	8	5	7	3	6	9	5	5	4	5	3	5	2	1	1	18	5	1	18	1	9	1	1	3	5	1	3	1	1
